  Run_nr	    Time	   Alpha	Delta_Pb	   P_bar	       T	     rpm	     rho	    P001	    P002	    P003	    P004	    P005	    P006	    P007	    P008	    P009	    P010	    P011	    P012	    P013	    P014	    P015	    P016	    P017	    P018	    P019	    P020	    P021	    P022	    P023	    P024	    P025	    P026	    P027	    P028	    P029	    P030	    P031	    P032	    P033	    P034	    P035	    P036	    P037	    P038	    P039	    P040	    P041	    P042	    P043	    P044	    P045	    P046	    P047	    P048	    P049	    P050	    P051	    P052	    P053	    P054	    P055	    P056	    P057	    P058	    P059	    P060	    P061	    P062	    P063	    P064	    P065	    P066	    P067	    P068	    P069	    P070	    P071	    P072	    P073	    P074	    P075	    P076	    P077	    P078	    P079	    P080	    P081	    P082	    P083	    P084	    P085	    P086	    P087	    P088	    P089	    P090	    P091	    P092	    P093	    P094	    P095	    P096	    P097	    P098	    P099	    P100	    P101	    P102	    P103	    P104	    P105	    P106	    P107	    P108	    P109	    P110	    P111	    P112	    P113
       /	   H:M:S	 degrees	      Pa	     hPa	 degr._C	   1/min	  kg/m^3	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa
      52	 09:44:24	  14.250	  116.17	 1018.10	   17.60	  819.69	   1.220	 -440.01	 -318.01	 -387.56	 -402.55	 -352.69	 -309.43	 -279.11	 -264.90	 -239.75	 -217.12	 -186.87	 -178.34	 -164.54	 -152.00	 -148.46	 -135.64	 -119.60	 -111.74	 -102.11	 -101.88	  -96.02	  -85.58	  -77.23	  -74.27	  -51.99	 -438.68	  115.67	  242.45	  214.51	  168.42	  139.87	  121.89	  104.70	   92.17	   81.02	   71.34	   62.72	   54.13	   47.92	   41.52	   35.19	   29.46	   25.07	   20.32	   17.13	   13.69	   10.65	    7.30	  -51.99	  248.81	  248.10	  247.42	  248.31	  248.41	  248.23	  249.70	  248.73	  248.30	  250.23	  249.01	  246.53	  246.34	  244.10	  241.96	  236.47	  231.32	  223.23	  216.38	  203.90	  188.41	  181.53	  171.92	  163.53	  161.67	  159.85	  159.65	  160.58	  162.64	  167.45	  169.43	  176.21	  176.84	  183.82	  187.87	  191.03	  196.39	  201.09	  209.18	  220.07	  226.13	  236.39	  238.93	  242.51	  246.09	  249.34	  249.72	  251.23	   -4.81	   15.64	   15.67	   11.95	    5.42	   -6.85	   -2.58	  -10.01	  -10.36	  -10.87	   -8.03	   15.84	   -0.33	   -0.08	   -0.28	    0.08
      53	 09:44:36	  14.500	  114.78	 1018.09	   17.62	  820.16	   1.220	 -412.62	 -332.73	 -391.99	 -401.60	 -353.20	 -315.50	 -288.88	 -276.80	 -252.89	 -231.29	 -202.67	 -193.35	 -178.88	 -164.68	 -160.86	 -145.67	 -126.95	 -116.90	 -106.09	 -104.33	  -96.92	  -86.55	  -77.65	  -74.77	  -51.42	 -411.51	  120.82	  247.18	  217.99	  171.11	  142.82	  124.08	  107.00	   94.34	   83.12	   73.34	   64.68	   56.11	   49.72	   43.37	   36.98	   31.20	   26.83	   22.02	   18.86	   15.40	   12.29	    8.98	  -51.42	  252.77	  252.03	  251.36	  252.46	  252.43	  252.02	  253.81	  252.48	  252.32	  254.16	  252.55	  249.91	  249.66	  247.31	  244.92	  238.63	  232.25	  223.69	  216.18	  204.68	  190.10	  184.34	  175.32	  166.51	  164.09	  158.90	  155.94	  155.10	  154.93	  158.35	  159.35	  165.00	  156.21	  162.77	  166.86	  171.14	  178.04	  184.00	  192.27	  203.80	  211.97	  224.81	  229.76	  235.83	  241.60	  245.94	  246.86	  250.19	  -11.46	   14.86	   14.53	    9.97	    2.93	  -10.33	   -5.17	  -12.50	  -13.36	  -14.50	  -12.56	   15.22	   -0.46	   -0.07	   -0.27	    0.01
      54	 09:44:50	  15.000	  116.11	 1018.11	   17.63	  820.13	   1.220	 -407.03	 -294.43	 -328.39	 -344.67	 -306.76	 -275.81	 -253.32	 -246.09	 -227.53	 -211.75	 -185.93	 -182.45	 -171.42	 -161.29	 -160.19	 -149.18	 -133.27	 -125.75	 -115.95	 -114.48	 -107.61	  -96.63	  -87.67	  -84.09	  -60.48	 -405.97	  129.35	  245.24	  213.84	  167.42	  139.27	  121.25	  104.23	   91.78	   80.60	   70.87	   62.22	   53.78	   47.21	   40.71	   34.25	   28.28	   23.74	   18.76	   15.34	   11.62	    8.23	    4.74	  -60.48	  250.46	  250.11	  249.41	  250.32	  250.54	  250.14	  251.75	  250.54	  250.33	  252.21	  250.68	  247.67	  247.68	  244.87	  241.66	  234.64	  227.79	  218.60	  209.56	  197.67	  183.37	  177.19	  167.96	  160.12	  157.51	  155.02	  154.56	  154.72	  155.97	  159.70	  160.96	  166.33	  145.31	  155.39	  157.25	  161.21	  168.40	  174.50	  185.93	  200.47	  211.64	  226.69	  232.63	  238.86	  244.85	  248.74	  249.84	  252.21	  -15.23	   14.08	   13.24	    7.95	    1.03	  -13.48	   -7.81	  -15.72	  -16.40	  -17.96	  -16.97	   14.46	   -0.57	   -0.06	   -0.24	    0.04
      55	 09:45:09	  15.500	  114.96	 1018.12	   17.66	  819.79	   1.220	 -326.76	 -190.29	 -228.61	 -258.90	 -247.25	 -226.78	 -216.87	 -221.55	 -212.67	 -204.57	 -185.89	 -187.66	 -180.75	 -174.43	 -177.29	 -166.27	 -152.05	 -144.82	 -137.91	 -136.48	 -130.79	 -118.46	 -108.44	 -103.86	  -74.93	 -326.64	  161.50	  246.25	  209.88	  162.70	  134.80	  117.30	  100.21	   87.72	   76.46	   66.71	   57.92	   49.16	   42.58	   35.79	   29.04	   22.82	   17.85	   12.57	    8.77	    4.66	    0.82	   -4.10	  -74.93	  251.28	  251.08	  250.39	  251.06	  251.53	  251.09	  252.72	  251.40	  251.11	  252.89	  250.74	  247.15	  246.17	  242.00	  237.68	  229.99	  222.55	  213.31	  205.51	  193.76	  180.54	  174.45	  164.84	  156.21	  150.29	  143.24	  137.80	  134.87	  133.70	  136.00	  136.72	  142.25	  139.23	  147.93	  152.19	  158.05	  167.09	  175.55	  188.49	  203.92	  214.63	  228.63	  233.05	  238.37	  243.69	  247.68	  249.50	  252.17	  -19.17	   13.96	   13.52	    8.72	    1.17	  -14.69	   -8.67	  -17.77	  -18.57	  -19.76	  -18.93	   13.97	   -0.43	   -0.04	   -0.24	   -0.12
      56	 09:45:20	  15.500	  116.08	 1018.12	   17.70	  819.95	   1.219	 -327.36	 -204.57	 -223.77	 -254.22	 -241.02	 -221.37	 -209.43	 -214.50	 -207.23	 -199.39	 -182.50	 -184.91	 -180.05	 -174.29	 -176.47	 -167.85	 -153.40	 -146.61	 -138.52	 -136.90	 -130.25	 -119.20	 -109.23	 -105.28	  -77.13	 -327.00	  160.95	  247.62	  209.83	  162.50	  134.42	  116.80	   99.85	   87.32	   76.04	   66.24	   57.36	   48.57	   41.89	   35.06	   28.26	   21.94	   16.98	   11.60	    7.81	    3.53	   -0.37	   -4.62	  -77.13	  252.87	  252.47	  251.93	  252.62	  253.09	  252.49	  254.29	  252.89	  252.72	  254.49	  252.08	  248.71	  247.58	  243.57	  238.66	  230.27	  222.16	  213.45	  204.80	  192.15	  177.53	  171.29	  161.38	  152.48	  147.32	  142.35	  138.62	  137.75	  137.98	  142.29	  143.52	  149.49	  147.46	  155.21	  158.99	  163.31	  169.81	  175.84	  187.62	  202.97	  214.49	  229.65	  234.77	  240.04	  244.50	  248.81	  250.34	  252.54	  -18.37	   13.93	   13.28	    7.65	    0.27	  -15.87	   -9.46	  -19.26	  -19.56	  -20.32	  -19.57	   14.11	   -0.29	   -0.06	   -0.24	    0.03
      57	 09:45:29	  16.000	  114.35	 1018.12	   17.72	  819.84	   1.219	 -305.07	 -159.57	 -180.44	 -210.60	 -202.92	 -186.51	 -177.46	 -184.48	 -181.05	 -177.57	 -164.57	 -171.23	 -168.51	 -165.51	 -171.24	 -164.99	 -152.89	 -148.78	 -142.79	 -143.33	 -138.62	 -128.24	 -119.51	 -116.54	  -86.09	 -303.55	  173.21	  244.50	  205.04	  157.88	  130.28	  113.78	   96.42	   83.91	   72.59	   62.73	   53.82	   44.88	   38.06	   31.03	   24.00	   17.44	   12.17	    6.46	    2.52	   -2.20	   -6.70	  -11.59	  -86.09	  250.04	  249.82	  249.31	  250.08	  250.29	  249.88	  251.50	  250.27	  249.99	  251.69	  249.85	  246.28	  245.14	  241.02	  236.47	  228.88	  221.66	  212.35	  203.94	  191.29	  177.27	  169.13	  158.51	  147.36	  140.81	  132.55	  128.03	  126.92	  127.43	  130.47	  131.34	  138.15	  145.05	  156.12	  160.75	  167.11	  175.10	  181.33	  194.01	  209.23	  219.57	  233.60	  238.15	  242.99	  246.38	  249.21	  249.39	  251.30	  -20.70	   14.16	   13.82	    9.11	    1.22	  -16.13	   -9.28	  -19.28	  -21.52	  -22.02	  -22.12	   14.03	    0.00	   -0.08	   -0.29	   -0.06
      58	 09:45:38	  16.500	  115.58	 1018.12	   17.75	  820.17	   1.219	 -306.51	 -152.73	 -171.80	 -201.02	 -194.56	 -178.50	 -170.79	 -177.57	 -173.79	 -171.08	 -158.54	 -166.86	 -165.93	 -164.74	 -170.14	 -163.41	 -152.48	 -148.28	 -143.60	 -145.81	 -141.84	 -131.76	 -123.24	 -120.43	  -86.78	 -305.26	  175.00	  244.91	  205.33	  157.97	  131.09	  114.13	   96.83	   84.34	   73.02	   63.15	   54.28	   45.29	   38.49	   31.42	   24.35	   17.75	   12.45	    6.69	    2.67	   -2.05	   -6.65	  -11.45	  -86.78	  250.37	  250.17	  249.47	  250.46	  250.56	  250.24	  251.78	  250.55	  250.35	  251.79	  249.59	  245.65	  244.63	  240.97	  236.52	  227.48	  218.87	  209.40	  201.00	  188.59	  173.00	  164.42	  153.61	  143.77	  137.93	  131.21	  127.22	  126.76	  128.34	  133.33	  134.87	  141.84	  132.14	  141.66	  143.82	  149.04	  157.91	  165.73	  179.97	  198.88	  212.74	  229.31	  235.50	  241.30	  245.50	  248.79	  249.35	  251.23	  -21.68	   12.68	   12.34	    7.64	   -0.23	  -18.52	  -11.14	  -20.96	  -22.13	  -22.31	  -22.26	   12.57	   -0.66	    0.01	   -0.32	   -0.25
      59	 09:45:45	  17.000	  117.07	 1018.12	   17.78	  819.77	   1.219	 -294.02	 -140.76	 -150.01	 -179.34	 -172.39	 -157.26	 -149.06	 -157.39	 -154.06	 -155.00	 -144.38	 -153.48	 -154.06	 -155.37	 -163.32	 -158.32	 -149.21	 -147.48	 -144.51	 -146.83	 -143.58	 -134.79	 -126.37	 -123.33	  -91.31	 -292.80	  180.87	  244.66	  204.26	  157.19	  129.96	  113.09	   95.96	   83.43	   72.04	   62.08	   53.06	   43.98	   36.95	   29.70	   22.39	   15.61	   10.10	    4.04	   -0.28	   -5.23	  -10.08	  -15.42	  -91.31	  250.03	  249.87	  249.22	  249.93	  250.31	  249.87	  251.42	  250.24	  249.91	  250.95	  248.43	  244.13	  241.93	  236.98	  231.09	  222.10	  213.42	  202.74	  193.22	  180.32	  165.63	  158.11	  148.47	  139.59	  135.43	  130.15	  126.43	  125.74	  126.26	  131.14	  134.07	  141.90	  105.70	  117.97	  116.88	  121.83	  130.11	  138.32	  154.33	  177.06	  195.81	  216.72	  228.14	  238.07	  246.80	  253.00	  254.36	  255.60	  -22.08	   13.04	   12.76	    7.50	   -2.04	  -20.71	  -14.49	  -22.55	  -20.66	  -20.71	  -21.93	   12.46	   -0.08	   -0.07	   -0.26	    0.05
      60	 09:45:53	  17.500	  116.30	 1018.12	   17.79	  819.93	   1.219	 -283.79	 -124.23	 -132.83	 -161.66	 -156.20	 -142.70	 -135.57	 -144.64	 -142.16	 -143.40	 -132.95	 -143.41	 -145.69	 -148.82	 -157.83	 -154.57	 -147.06	 -146.59	 -144.65	 -148.93	 -147.03	 -139.39	 -131.55	 -129.78	  -98.11	 -281.78	  182.14	  243.77	  202.94	  156.71	  129.21	  112.81	   95.37	   82.71	   71.17	   61.07	   51.90	   42.70	   35.38	   27.95	   20.42	   13.31	    7.61	    1.31	   -3.28	   -8.55	  -13.80	  -19.61	  -98.11	  248.85	  248.60	  247.91	  248.60	  249.13	  248.72	  250.29	  249.09	  248.77	  249.68	  246.93	  242.74	  240.51	  235.55	  230.20	  222.39	  214.21	  203.97	  193.33	  179.88	  165.35	  158.54	  148.42	  139.21	  134.10	  128.54	  125.92	  124.58	  124.79	  127.21	  128.10	  134.60	   84.07	   90.32	   92.10	   95.97	  103.58	  110.03	  124.34	  147.50	  168.22	  192.70	  209.41	  224.86	  237.95	  244.97	  248.88	  251.38	  -21.28	   11.21	   10.52	    5.14	   -5.79	  -24.03	  -17.49	  -24.44	  -22.13	  -21.07	  -21.51	   10.66	   -0.21	   -0.06	   -0.30	   -0.12
      61	 09:46:15	  18.000	  116.45	 1018.12	   17.84	  819.72	   1.219	 -264.98	 -111.86	 -125.07	 -155.13	 -148.43	 -134.72	 -129.55	 -139.32	 -135.94	 -136.63	 -126.90	 -137.92	 -141.23	 -144.74	 -155.25	 -152.15	 -146.34	 -147.10	 -147.14	 -151.41	 -151.78	 -146.26	 -140.64	 -140.96	 -112.22	 -262.50	  182.03	  246.05	  207.86	  161.74	  134.16	  116.31	   98.71	   85.40	   73.25	   62.48	   52.70	   42.87	   34.91	   26.82	   18.60	   10.89	    4.44	   -2.55	   -7.97	  -14.01	  -20.11	  -27.01	 -112.22	  251.27	  251.07	  250.42	  251.38	  251.47	  251.07	  252.74	  251.50	  251.20	  252.78	  250.98	  247.64	  246.63	  243.35	  240.64	  234.38	  228.93	  220.75	  213.88	  201.45	  186.35	  176.66	  162.90	  147.56	  134.90	  119.96	  107.62	   96.86	   89.39	   82.10	   75.60	   76.17	  153.33	  159.07	  178.73	  187.57	  198.19	  208.07	  222.89	  236.24	  241.61	  249.17	  248.93	  249.84	  250.37	  251.95	  250.83	  251.70	   -3.61	   -7.15	  -19.72	  -28.88	  -28.49	  -20.22	  -23.18	  -21.10	  -20.80	  -18.45	  -10.67	    4.29	    0.29	   -0.04	   -0.29	   -0.20
